document_id,topic_id,confidence_level
1595802,140,0.0731131601068925
1595802,16,0.0594164867373976
1595802,143,0.0454207537554526
1595802,170,0.0388674285182961
1524246,113,0.196450402209685
1524246,260,0.14287816210395
1524246,92,0.0331591277639303
1524246,168,0.0140903418233461
1524246,54,0.00878222028049753
1524246,207,0.00828237207366929
1617787,113,0.216892316441472
1617787,260,0.096312506979167
1617787,258,0.0487299672992729
1617787,10,0.0311358537054966
1617787,168,0.0131200552985547
1617787,148,0.0131103270369802
1615583,89,0.316306499636243
1615583,198,0.0157218239706048
1615460,260,0.0979641463762194
1615460,26,0.0145508920589849
1615354,84,0.0963895515511135
1614611,113,0.0629453386260749
1614611,148,0.0504159556240437
1614611,92,0.0498359556811866
1614611,262,0.0392507596797281
1614235,108,0.327424059013455
1614225,113,0.19757638841493
1614225,260,0.136105964155884
1614225,168,0.0140839425785373
1614225,202,0.0105344425102777
1614225,72,0.00852307708698224
1614225,242,0.00827384631295857
1488264,113,0.206802808702364
1488264,260,0.110141490401385
1488264,89,0.0392244028871627
1488264,221,0.0333672886850113
1488264,168,0.0229245510626596
1614048,260,0.213432015415949
1614048,192,0.0204559193630894
1543808,113,0.186533598433884
1543808,260,0.129736386928715
1543808,143,0.0452493342379134
1543808,140,0.0429108988112303
1543808,279,0.011185603713556
1543808,2,0.0105764932041913
1543808,168,0.00943359345365262
1543666,113,0.195358241561148
1543666,260,0.0850589786337885
1543666,143,0.0406299024701534
1543666,168,0.0141416946888463
1543666,274,0.0139083478958345
1541439,113,0.220487777880407
1541439,260,0.0584875113320999
1541439,32,0.0381723054335913
1541439,100,0.0199278094717272
1541439,65,0.012485620562981
1541439,86,0.0109022084278772
1541439,148,0.00959885544779947
1613295,113,0.196999412233353
1613295,260,0.0870874919185103
1613295,26,0.0372828199020378
1613295,198,0.024670686090196
1613295,16,0.0173562589421536
1613295,92,0.011874085462703
1613215,113,0.200989839365321
1613215,260,0.0481375707457746
1613215,249,0.0449299384748388
1613215,262,0.0342034475350295
1613215,140,0.0088317762719567
1524704,260,0.0919542914824913
1524704,143,0.0593631342936547
1524704,89,0.0417938247993666
1524704,113,0.00870541114927292
1524704,66,0.00808066749545306
1610319,143,0.081331338271143
1610319,193,0.0720200166713001
1610319,260,0.0689513122572481
1610319,221,0.039416073938906
1610319,113,0.0243742417532967
1542552,113,0.192704852082736
1542552,260,0.11978843958278
1542552,140,0.0225737943459838
1542552,193,0.0206467083013404
1542552,258,0.0188300794184898
1542552,285,0.0124167449857277
1542552,298,0.00837687762651235
1542552,148,0.00806331566799696
1524546,260,0.191584087108412
1524546,113,0.180882592756889
1524546,16,0.0396653329134992
1524546,249,0.0390436637520056
1524546,168,0.0244798703789051
1524546,100,0.0182547893049595
1524546,67,0.0126243934955543
1609802,113,0.157511904525732
1609802,260,0.150682646335892
1609802,143,0.0458799604290714
1609802,140,0.0390236424601568
1609802,16,0.0290065484342258
1609802,258,0.0204884046181075
1647498,113,0.107327775895926
1647498,107,0.0815553724588631
1647498,260,0.0367815420596763
1647498,196,0.0205024698154377
1647498,281,0.014496583155255
1647498,74,0.0117631297807954
1647498,64,0.0112122776702261
1609256,260,0.370258348760765
1488057,113,0.166412016182025
1488057,143,0.073996474531175
1488057,260,0.0696690954436508
1488057,20,0.0274072148702649
1488057,55,0.0224272326642758
1488057,89,0.0196347415046332
1488057,109,0.0181080745520739
1488057,64,0.0119655640384951
1488057,50,0.0102755075422299
1488057,62,0.0083783910820957
1608075,148,0.15431715706993
1608075,260,0.105167200334761
1608075,249,0.0671063672389198
1608075,113,0.0355799146022699
1608075,142,0.0109299075324782
1649561,260,0.325304608966917
1649561,75,0.00823296478391517
1600843,10,0.0106517164969709
1595678,258,0.151695110373623
1595678,113,0.14846519421572
1595678,260,0.0571043544987091
1595678,140,0.0529468317800396
1595678,143,0.0503641538116692
1595678,92,0.0309791044543571
1595678,297,0.0140658973321166
1595678,148,0.00913137717116755
1595678,296,0.00844854406818133
1595678,110,0.00834759502393591
1595611,113,0.174606670649582
1595611,260,0.0731452959142844
1595611,143,0.0420251127988493
1595611,258,0.0361818324959288
1595611,296,0.0103045353428629
1595611,110,0.00861688280140106
1536093,113,0.167990065295378
1536093,260,0.135810451842172
1536093,249,0.0472293549213342
1536093,20,0.0433888044934767
1536093,100,0.0360115242272608
1536093,16,0.0272186431977972
1536093,168,0.0228061100615773
1536093,68,0.0180358634200112
1536093,262,0.0169217967047203
1536093,160,0.0133956602107228
1536093,108,0.0112350086992052
1536084,113,0.221395917134791
1536084,260,0.122914099339995
1536084,249,0.0439138478408595
1536084,168,0.0307177326720068
1536084,181,0.0104859619853852
1536084,148,0.00867551914775881
1494886,113,0.181281388207994
1494886,153,0.0868437554572441
1494886,260,0.0321895792578723
1494886,85,0.0282866522205401
1494886,109,0.0230413993676859
